noun Ausonius voc_sg {{la-decl-2nd|Ausoni|num=sg}}
noun Autronius voc_sg {{la-decl-2nd|num=sg|Autrōni}}
noun Auxacii voc_sg {{la-decl-2nd|num=pl|Auxaci}}
noun Avianius voc_sg {{la-decl-2nd|num=sg|Aviāni}}
noun Avidius voc_sg {{la-decl-2nd|num=sg|Avidi}}
noun Axius voc_sg {{la-decl-2nd|num=sg|Axi}}
noun Axius voc_sg {{la-decl-2nd|num=sg|Axi}}
noun Babullius voc_sg {{la-decl-2nd|num=sg|Babulli}}
noun Bacuntius voc_sg {{la-decl-2nd|num=sg|Bacunti}}
noun Baebius voc_sg {{la-decl-2nd|num=sg|Baebi}}
noun Bantius voc_sg {{la-decl-2nd|num=sg|Banti}}
noun Barbatius voc_sg {{la-decl-2nd|num=sg|Barbāti}}
noun Belisarius voc_sg {{la-decl-2nd|num=sg|Belisari}}
noun Betasii voc_sg {{la-decl-2nd|num=pl|Betasi}}
noun Betutius voc_sg {{la-decl-2nd|num=sg|Betūti}}
noun Birrius voc_sg {{la-decl-2nd|num=sg|Birri}}
noun Bitius voc_sg {{la-decl-2nd|num=sg|Biti}}
noun Blaesius voc_sg {{la-decl-2nd|num=sg|Blaesi}}
noun Blossius voc_sg {{la-decl-2nd|num=sg|Blossi}}
noun Boagrius voc_sg {{la-decl-2nd|num=sg|Boagri}}
noun Boii voc_sg {{la-decl-2nd|num=pl|Boi}}
noun Briareius voc_sg {{la-decl-2nd|num=sg|Briarei}}
noun Brinnius voc_sg {{la-decl-2nd|num=sg|Brinni}}
noun Bruttii voc_sg {{la-decl-2nd|num=pl|Brutti}}
noun Bruttius voc_sg {{la-decl-2nd|num=sg|Brutti}}
noun Bucculeius voc_sg {{la-decl-2nd|num=sg|Bucculēi}}
noun Burbuleius voc_sg {{la-decl-2nd|num=sg|Burbulēi}}
noun Bussenius voc_sg {{la-decl-2nd|num=sg|Busseni}}
noun Cadius voc_sg {{la-decl-2nd|num=sg|Cadi}}
noun Cadusii voc_sg {{la-decl-2nd|num=pl|Cadūsi}}
noun Caedicius voc_sg {{la-decl-2nd|num=sg|Caedici}}
noun Caedrius voc_sg {{la-decl-2nd|num=sg|Caedri}}
noun Caelius voc_sg {{la-decl-2nd|num=sg|Caeli}}
noun Caepasius voc_sg {{la-decl-2nd|num=sg|Caepāsi}}
noun Caerellius voc_sg {{la-decl-2nd|num=sg|Caerelli}}
noun Caesellius voc_sg {{la-decl-2nd|num=sg|Caeselli}}
noun Caesennius voc_sg {{la-decl-2nd|num=sg|Caesenni}}
noun Caesetius voc_sg {{la-decl-2nd|num=sg|Caeseti}}
noun Caesius voc_sg {{la-decl-2nd|num=sg|Caesi}}
noun Caesonius voc_sg {{la-decl-2nd|num=sg|Caesōni}}
noun Caetronius voc_sg {{la-decl-2nd|num=sg|Caetrōni}}
noun Calavius voc_sg {{la-decl-2nd|num=sg|Calavi}}
noun Calidius voc_sg {{la-decl-2nd|num=sg|Calidi}}
noun Calpurnius voc_sg {{la-decl-2nd|num=sg|Calpurni}}
noun Calventius voc_sg {{la-decl-2nd|num=sg|Calventi}}
noun Calvisius voc_sg {{la-decl-2nd|num=sg|Calvisi}}
noun Cambunii voc_sg {{la-decl-2nd|num=pl|Cambūni}}
noun Camerius voc_sg {{la-decl-2nd|num=sg|Cameri}}
noun Camonius voc_sg {{la-decl-2nd|num=sg|Camōni}}
noun Canarii voc_sg {{la-decl-2nd|num=pl|Canari}}
noun Canidius voc_sg {{la-decl-2nd|num=sg|Cānidi}}
noun Caninius voc_sg {{la-decl-2nd|num=sg|Canīni}}
